species,gene_name,uniprot_id,fasta_accession,notes,,sequence identity
macaca mulatta,SLC22A2,F6U468,,UniProt unreviewed; RefSeq protein accession not clearly available / predicted models (XP_/XM_),,91.35135135135135
dog,SLC22A2,A0A8I3MNK2,,UniProt unreviewed (TrEMBL); RefSeq protein accession not clearly available,,85.22522522522522
human,SLC22A6,Q4U2R8,NP_004781.2,Reviewed UniProt (Swiss-Prot); RefSeq protein OAT1slc.bioparadigms.org+1,,100
mouse,SLC22A6,Q8VC69,NP_032792.2,Reviewed UniProt (Swiss-Prot); RefSeq protein for mouse Oat1uniprot.org+1,,84.01420959147424
rat,SLC22A6,O35956,NP_058920.1,Reviewed UniProt (Swiss-Prot); RefSeq protein for rat Oat1uniprot.org+1,,86.50088809946715
macaca fascicularis,SLC22A6,Q4W8A3,XM_005577529.4,Reviewed UniProt (Swiss-Prot); NCBI lists predicted mRNA only (no NP_/XP_ protein)uniprot.org+1,,94.84902309058614
macaca mulatta,SLC22A6,F7GJJ2,AFJ70556.1,UniProt imported entry; protein_id for isoform b from DDBJ/NCBI (no NP_ RefSeq)uniprot.org+1,,94.84902309058614
dog,SLC22A6,A0A8I3N270,XM_533258.6,UniProt unreviewed (TrEMBL); NCBI lists predicted mRNA (no NP_/XP_ protein)uniprot.org+1,,89.52042628774423
human,ABCC1,P33527,NP_004987.2,multidrug resistance-associated protein 1 (MRP1); reviewed UniProt; RefSeq isoform 1,,100
mouse,ABCC1,O35379,NP_032602,multidrug resistance-associated protein 1; reviewed UniProt; RefSeq NP_032602,,88.43892880470281
rat,ABCC1,Q8CG09,NP_071617.2,multidrug resistance-associated protein 1; reviewed UniProt; RefSeq NP_071617.2,,87.79373368146214
macaca mulatta,ABCC1,F7FA77,,unreviewed UniProt (TrEMBL) ABCC1 ortholog; RefSeq protein accession not identified in this pass,,96.8647942521228
macaca fascicularis,ABCC1,Q864R9,,unreviewed UniProt (TrEMBL) ABCC1 ortholog; RefSeq protein accession not identified in this pass,,97.58327890267799
dog,ABCC1,Q6UR05,NP_001002971.1,multidrug resistance-associated protein 1; UniProt ABCC1; RefSeq NP_001002971.1,,92.09666884389289
human,SLC22A8,Q8TCC7,NP_004245.2,OAT3; UniProt reviewed; NP_004245.2 is the canonical RefSeq protein for human SLC22A8,,100
mouse,SLC22A8,O88909,NP_112471.3,Oat3; UniProt reviewed; NP_112471.3 is mapped to mouse Slc22a8 (NM_031194.5),,78.59778597785979
rat,SLC22A8,Q9R1U7,NP_112622.1,Oat3; UniProt reviewed; NP_112622.1 is mapped to rat Slc22a8 (NM_031332.1),,79.70479704797047
macaca fascicularis,SLC22A8,Q4W8A2,,OAT3; UniProt reviewed entry for cynomolgus SLC22A8; I did not find a curated RefSeq NP_ accession in this pass,,96.30996309963099
macaca mulatta,SLC22A8,F7GJL4,NP_001181622.1,Rhesus SLC22A8; antibody and ortholog databases list F7GJL4 with RefSeq NP_001181622.1,,96.30996309963099
dog,SLC22A8,C9EGT7,XP_005631652.2,"Predicted dog SLC22A8/OAT3 protein; XP_005631652.2 is a RefSeq XP_ model; a clear UniProt accession was not retrievable without ambiguity, so left blank",,32.80346820809248
human,SLCO1B1,Q9Y6L6,NP_006437.3,Reviewed human OATP1B1,,100
mouse,SLCO1B1,Q9JJL3,NP_065241.1,Rodent Oatp1b2 is the functional ortholog of human OATP1B1/1B3,,67.8726483357453
rat,SLCO1B1,Q9QZX8,NP_113838.1,Rat Oatp1b2 is the functional ortholog of human OATP1B1/1B3,,66.57018813314038
macaca fascicularis,SLCO1B1,L7TEQ7,NP_001271469.1,Cynomolgus monkey SLCO1B1,,92.32995658465991
macaca mulatta,SLCO1B1,F6UHW9,,Rhesus macaque SLCO1B1; RefSeq protein accession not retrieved here,,75.39797395079594
dog,SLCO1B4,C9EGT7,,Dog Oatp1b4 is the closest functional ortholog to human OATP1B1/1B3; specific accessions not provided here,,72.25433526011561
human,SLCO1B4,Q9Y6L6,NP_006437.3,Reviewed human SLCO1B1 (OATP1B1) transporter.Wikipedia; repeated for similarity score,,100
human,SLCO1B2,Q9Y6L6,NP_006437.3,Reviewed human SLCO1B1 (OATP1B1) transporter.Wikipedia; repeated for similarity score,,100
mouse,SLCO1B2,Q9JJL3,NP_065241.1,Mouse ortholog Slco1b2; RefSeq NP_065241.1 corresponds to NM_020495.x.uniprot.org+1,,67.8726483357453
rat,SLCO1B2,Q9QZX8,NP_113838.1,Rat ortholog Slco1b2 (also known as Oatp4/Slco1b3); NP_113838.1 linked to NM_031650.3.Thermo Fisher Scientific+1,,66.57018813314038
dog,SLCO1B2,A0A8I3NUI6,,Dog SLCO1B2 (unreviewed OATP1B2) appears in orthology/annotation resources as an OATP1B-family ortholog; RefSeq NP_ accession not clearly identified here.alpha.glycosmos.org+2Bgee+2,,72.15007215007215
human,SLC47A1,Q96FL8,NP_060712.2,human MATE1 reviewed UniProt entry,,100
mouse,SLC47A1,Q8K0H1,NP_080459.2,mouse MATE1 reviewed UniProt entry,,79.47368421052632
rat,SLC47A1,Q5I0E9,NP_001014140.1,rat MATE1 reviewed UniProt entry,,80.17543859649123
papio anubis,SLC47A1,A0A2I3N8U0,,Ortholog from closest relative of macaca fascicularis and macaca mulattat,,91.78082191780823
human,SLC47A2,Q86VL8,NP_001093116.1,reviewed UniProt; human MATE2-K isoform 2,,100
mouse,SLC47A2,Q3V050,NP_001028714.1,reviewed UniProt; mouse ortholog,,52.823920265780735
rat,SLC47A2,D4A4W2,NP_001178849.1,unreviewed UniProt; rat ortholog,,49.00332225913621
macaca_fascicularis,SLC47A2,A0A2K5WPR1,NM_001319593.1,unreviewed UniProt; RefSeq mRNA only (protein XP_ accession not retrieved here),,88.03986710963456
dog,SLC47A2,A0A8I3NVU1,XP_038392967.1,unreviewed UniProt; predicted RefSeq protein isoform X1,,73.14662273476112
Human,ALB,P02768,NP_000468.1,,,100.0
Mouse,ALB,P07724,,,,73.72742200328408
Rat,ALB,P02770,,,,74.8768472906404
Macaca fascicularis,ALB,A2V9Z4,,,,93.43185550082102
Macaca mulatta,ALB,Q28522,,,,92.11822660098522
Dog,ALB,P49822,,,,80.95238095238095
